region,PC1,PC2
강원특별자치도,-0.14244389204479999,-0.8975604416105201
경기도,-0.39301372059141504,0.8629515057960768
경상남도,-0.1385140079694427,-0.25251289198145893
경상북도,-0.018871970151541476,-1.4028163899374662
광주광역시,-1.5488848114019365,0.8127037257676083
대구광역시,-1.409107838300417,0.4248864137347792
대전광역시,-1.1006940616162666,0.7608766151333449
부산광역시,0.4994911312922194,-0.18836870114028056
서울특별시,1.935219063699658,0.18709799578491726
세종특별자치시,0.992945903779587,2.327203991093426
울산광역시,2.3059737239475107,0.2630956138446052
인천광역시,-1.2689364116284996,0.683041248062839
전라남도,0.3879986364448809,-1.8660223993513614
전북특별자치도,-1.2889972305495871,-0.9460045674965434
제주특별자치도,0.660848483948607,0.8218219786575525
충청남도,0.5569444995638468,-0.9541979593870081
충청북도,-0.029957498422402102,-0.6361957369705107
